gender,sexual_orientation,location_type,numeric_value(location),income_bracket,numeric_value(income),education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,target_variable
Genderfluid,Lesbian,Urban,1,High,5,Bachelor’s,"Spirituality, K-pop, Cars",60,High,0.67,Optimistic,178,13,6,278,56,0.26,3,Afternoon,No Action,0
Female,Asexual,Metro,0,High,5,MBA,"Astrology, Poetry, Social Activism",216,Extreme User,0.39,Balanced,102,18,1,466,74,0.47,4,Afternoon,Blocked,0
Prefer Not to Say,Lesbian,Metro,0,Very High,6,PhD,"K-pop, Memes, Writing",190,Extreme User,0.34,Balanced,47,25,1,342,85,0.27,0,Evening,Blocked,0
Transgender,Pansexual,Metro,0,Middle,3,Master’s,"Podcasts, MMA, Makeup",0,Barely,0.58,Optimistic,170,22,3,305,71,0.38,16,Morning,Catfished,0
Genderfluid,Gay,Remote Area,5,Upper-Middle,4,MBA,"Binge-Watching, Politics, Art",120,Addicted,0.32,Balanced,198,17,3,210,69,0.07,2,Afternoon,No Action,0
Female,Queer,Suburban,2,Upper-Middle,4,Bachelor’s,"Cars, Hiking, Anime",226,Extreme User,0.57,Optimistic,197,25,3,319,2,0.17,14,After Midnight,Instant Match,0
Male,Asexual,Remote Area,5,Middle,3,Associate’s,"Running, Movies, Poetry",67,High,0.35,Balanced,35,3,2,130,70,0.34,14,Morning,Date Happened,0
Prefer Not to Say,Bisexual,Remote Area,5,Low,1,High School,"Cooking, Clubbing, Tattoos",112,High,0.2,Balanced,79,6,1,178,49,0.12,13,After Midnight,Ghosted,2
Male,Queer,Rural,4,Upper-Middle,4,Diploma,"Music, Motorcycling, Poetry",184,Extreme User,0.44,Optimistic,168,11,3,114,64,0.18,16,Evening,Catfished,0
Prefer Not to Say,Demisexual,Metro,0,Middle,3,Master’s,"Pets, K-pop, Reading",27,Low,0.42,Optimistic,55,29,5,493,12,0.2,2,Afternoon,Chat Ignored,1
Genderfluid,Straight,Remote Area,5,Very High,6,MBA,"Traveling, Parenting, Art",270,Extreme User,0.35,Balanced,157,15,5,379,56,0.62,9,Evening,Date Happened,0
Male,Queer,Urban,1,Very High,6,PhD,"Traveling, Art, History",52,Moderate,0.47,Optimistic,82,6,4,443,65,0.16,23,After Midnight,Catfished,0
Female,Lesbian,Metro,0,Very High,6,Master’s,"Crafting, Tech, Clubbing",21,Low,0.49,Optimistic,114,2,0,405,72,0.44,14,Late Night,One-sided Like,0
Genderfluid,Straight,Metro,0,Very Low,0,No Formal Education,"Poetry, Art, Photography",134,Addicted,0.53,Optimistic,25,4,1,101,67,0.24,0,Late Night,Ghosted,2
Genderfluid,Lesbian,Urban,1,Upper-Middle,4,Master’s,"Sneaker Culture, Running, Poetry",253,Extreme User,0.61,Optimistic,22,1,1,297,18,0.19,18,Late Night,Blocked,0
Prefer Not to Say,Asexual,Suburban,2,Upper-Middle,4,No Formal Education,"Spirituality, Meditation, Skating",103,High,0.57,Optimistic,30,15,6,318,32,0.21,2,Late Night,Date Happened,0
Genderfluid,Asexual,Suburban,2,Middle,3,MBA,"Foodie, Photography, Parenting",16,Low,0.42,Optimistic,174,12,2,147,88,0.28,17,Evening,Relationship Formed,0
Non-binary,Pansexual,Metro,0,Very High,6,No Formal Education,"Yoga, History, Memes",70,High,0.37,Balanced,110,13,0,373,66,0.09,11,Early Morning,Chat Ignored,1
Non-binary,Pansexual,Suburban,2,Middle,3,High School,"Skating, Binge-Watching, Parenting",100,High,0.34,Balanced,118,6,2,343,18,0.12,1,Late Night,Catfished,0
Prefer Not to Say,Asexual,Urban,1,Very High,6,Bachelor’s,"Gardening, Memes, Crafting",34,Moderate,0.82,Swipe Maniac,163,12,4,47,15,0.1,18,Early Morning,One-sided Like,0
Male,Demisexual,Urban,1,Upper-Middle,4,Postdoc,"Makeup, Binge-Watching, Pets",29,Low,0.55,Optimistic,146,16,6,328,30,0.33,20,Afternoon,Mutual Match,0
Female,Demisexual,Remote Area,5,High,5,Bachelor’s,"MMA, Gardening, Binge-Watching",243,Extreme User,0.17,Choosy,146,9,1,57,12,0.01,15,Evening,Relationship Formed,0
Genderfluid,Bisexual,Rural,4,Very Low,0,Master’s,"Languages, MMA, Traveling",193,Extreme User,0.68,Optimistic,103,17,0,67,99,0.2,23,After Midnight,No Action,0
Male,Gay,Suburban,2,Very Low,0,No Formal Education,"Languages, Cars, Makeup",1,Barely,0.6,Optimistic,49,25,4,305,100,0.17,16,After Midnight,Blocked,0
Male,Asexual,Remote Area,5,High,5,Associate’s,"Stand-up Comedy, K-pop, Gardening",277,Extreme User,0.03,Choosy,70,30,6,181,6,0.35,5,Evening,No Action,0
Female,Lesbian,Urban,1,High,5,Bachelor’s,"Dancing, Tech, MMA",186,Extreme User,0.6,Optimistic,179,22,1,110,37,0.29,9,Late Night,Chat Ignored,1
Prefer Not to Say,Queer,Remote Area,5,Upper-Middle,4,No Formal Education,"Reading, Gardening, Tech",100,High,0.62,Optimistic,166,22,3,64,32,0.55,6,Early Morning,Blocked,0
Female,Straight,Metro,0,Lower-Middle,2,Diploma,"Social Activism, Music, History",82,High,0.41,Optimistic,189,5,1,82,24,0.46,22,Evening,One-sided Like,0
Transgender,Queer,Remote Area,5,Low,1,PhD,"Crafting, Reading, Music",182,Extreme User,0.67,Optimistic,168,4,6,325,28,0.16,21,Early Morning,No Action,0
Genderfluid,Demisexual,Small Town,3,Lower-Middle,2,MBA,"Poetry, Yoga, Tattoos",178,Addicted,0.54,Optimistic,68,7,2,117,81,0.28,18,Early Morning,Relationship Formed,0
Non-binary,Gay,Small Town,3,Very High,6,No Formal Education,"DIY, Cooking, Art",264,Extreme User,0.74,Swipe Maniac,105,29,6,7,14,0.3,22,After Midnight,Chat Ignored,1
Male,Bisexual,Remote Area,5,Very High,6,Associate’s,"DIY, Painting, Parenting",239,Extreme User,0.38,Balanced,200,21,3,381,7,0.39,23,After Midnight,Date Happened,0
Non-binary,Demisexual,Metro,0,Upper-Middle,4,High School,"Spirituality, Motorcycling, Painting",280,Extreme User,0.68,Optimistic,111,27,1,378,29,0.34,2,Early Morning,Chat Ignored,1
Non-binary,Pansexual,Suburban,2,Very High,6,Postdoc,"Sneaker Culture, Crafting, K-pop",159,Addicted,0.55,Optimistic,180,16,6,289,52,0.22,4,Morning,Blocked,0
Male,Straight,Metro,0,Upper-Middle,4,Master’s,"Poetry, Crafting, Sneaker Culture",213,Extreme User,0.28,Balanced,57,14,6,222,32,0.37,14,Morning,No Action,0
Female,Demisexual,Remote Area,5,Upper-Middle,4,Bachelor’s,"Art, Tattoos, Reading",252,Extreme User,0.67,Optimistic,84,20,3,416,42,0.36,22,Early Morning,Ghosted,2
Non-binary,Gay,Urban,1,Middle,3,Bachelor’s,"Investing, Politics, Motorcycling",156,Addicted,0.36,Balanced,137,11,5,107,42,0.24,1,Early Morning,Catfished,0
Transgender,Straight,Rural,4,Very Low,0,Diploma,"Pets, Astrology, Yoga",299,Extreme User,0.56,Optimistic,141,18,1,380,66,0.21,22,Evening,Blocked,0
Non-binary,Queer,Rural,4,Very Low,0,No Formal Education,"K-pop, Makeup, Social Activism",177,Addicted,0.39,Balanced,96,17,6,404,66,0.43,1,Early Morning,No Action,0
Female,Bisexual,Small Town,3,Upper-Middle,4,Postdoc,"Binge-Watching, Art, Photography",4,Barely,0.7,Swipe Maniac,141,25,3,295,48,0.27,10,Morning,One-sided Like,0
Non-binary,Lesbian,Rural,4,Very High,6,Master’s,"Tattoos, Reading, Dancing",110,High,0,Choosy,189,14,1,135,22,0.42,11,Early Morning,Date Happened,0
Male,Queer,Metro,0,High,5,PhD,"Board Games, Coding, Anime",266,Extreme User,0,Choosy,180,7,0,264,73,0.23,16,Morning,One-sided Like,0
Genderfluid,Gay,Small Town,3,Lower-Middle,2,Postdoc,"Tech, Stand-up Comedy, Movies",184,Extreme User,0.7,Swipe Maniac,175,26,1,380,97,0.58,14,Evening,Catfished,0
Genderfluid,Queer,Remote Area,5,Low,1,MBA,"Memes, Stand-up Comedy, Poetry",197,Extreme User,0.53,Optimistic,128,9,4,53,76,0.27,22,After Midnight,Date Happened,0
Female,Pansexual,Rural,4,Very Low,0,Bachelor’s,"Tattoos, Cars, Investing",129,Addicted,0.93,Swipe Maniac,21,4,5,36,15,0.35,14,Morning,No Action,0
Genderfluid,Straight,Urban,1,Middle,3,PhD,"Anime, Board Games, Motorcycling",263,Extreme User,0.26,Balanced,21,7,1,115,29,0.09,14,Afternoon,Instant Match,0
Transgender,Bisexual,Rural,4,Low,1,High School,"Fitness, DIY, Podcasts",161,Addicted,0.56,Optimistic,65,6,4,178,57,0.21,12,Early Morning,Mutual Match,0
Transgender,Demisexual,Metro,0,Lower-Middle,2,PhD,"Foodie, Startups, Movies",1,Barely,0.44,Optimistic,8,8,2,318,72,0.43,7,Afternoon,Mutual Match,0
Prefer Not to Say,Queer,Rural,4,Upper-Middle,4,Postdoc,"MMA, Motorcycling, Gaming",258,Extreme User,0.48,Optimistic,192,29,6,195,28,0.16,3,Evening,One-sided Like,0
Male,Queer,Suburban,2,High,5,Bachelor’s,"Makeup, Startups, DIY",281,Extreme User,0.78,Swipe Maniac,196,14,5,208,53,0.29,18,Late Night,Catfished,0
Genderfluid,Pansexual,Remote Area,5,Low,1,PhD,"Tattoos, Skating, Crafting",224,Extreme User,0.77,Swipe Maniac,136,11,1,58,61,0.13,22,Evening,Relationship Formed,0
Prefer Not to Say,Gay,Metro,0,Upper-Middle,4,Master’s,"Tattoos, DIY, Board Games",207,Extreme User,0.38,Balanced,92,0,4,129,41,0.17,15,Early Morning,Date Happened,0
Male,Pansexual,Metro,0,Upper-Middle,4,Associate’s,"Tech, Cooking, Parenting",187,Extreme User,0.57,Optimistic,160,17,5,193,29,0.27,23,Evening,Relationship Formed,0
Female,Straight,Rural,4,Upper-Middle,4,Master’s,"Board Games, Startups, Clubbing",2,Barely,0.52,Optimistic,127,7,1,301,53,0.17,5,Morning,Ghosted,2
Non-binary,Asexual,Remote Area,5,Low,1,Master’s,"History, Photography, Podcasts",136,Addicted,0.59,Optimistic,152,5,0,489,42,0.35,22,Early Morning,Instant Match,0
Genderfluid,Gay,Rural,4,Lower-Middle,2,High School,"DIY, Tattoos, Music",143,Addicted,0.91,Swipe Maniac,142,1,4,10,84,0.05,15,Afternoon,Catfished,0
Transgender,Lesbian,Urban,1,Very Low,0,Master’s,"Memes, Parenting, Astrology",158,Addicted,0.17,Choosy,137,6,4,224,21,0.36,9,Late Night,Instant Match,0
Female,Lesbian,Small Town,3,Low,1,Postdoc,"Social Activism, Podcasts, Traveling",93,High,0.43,Optimistic,123,27,2,234,69,0.04,9,Early Morning,Catfished,0
Non-binary,Straight,Metro,0,Very High,6,PhD,"Binge-Watching, Dancing, Gardening",293,Extreme User,0.47,Optimistic,19,17,2,321,42,0.57,4,Late Night,Instant Match,0
Male,Asexual,Metro,0,Lower-Middle,2,Associate’s,"Traveling, Skating, Writing",2,Barely,0.51,Optimistic,198,18,2,246,91,0.48,6,Evening,One-sided Like,0
Transgender,Gay,Metro,0,Middle,3,Postdoc,"Clubbing, Traveling, Gaming",84,High,0.31,Balanced,44,7,1,297,64,0.21,20,Morning,One-sided Like,0
Genderfluid,Lesbian,Suburban,2,Low,1,PhD,"Traveling, Clubbing, K-pop",69,High,0.24,Balanced,145,24,0,492,46,0.09,18,Afternoon,Catfished,0
Genderfluid,Asexual,Urban,1,Lower-Middle,2,No Formal Education,"Skating, Tech, Writing",225,Extreme User,0.72,Swipe Maniac,8,3,3,86,40,0.54,9,Afternoon,Mutual Match,0
Non-binary,Asexual,Suburban,2,Lower-Middle,2,Bachelor’s,"Gaming, Writing, Tattoos",56,Moderate,0.44,Optimistic,87,22,3,173,27,0.41,23,Afternoon,Date Happened,0
Prefer Not to Say,Gay,Metro,0,Middle,3,Postdoc,"Tech, Meditation, Fashion",252,Extreme User,0.76,Swipe Maniac,48,24,3,116,31,0.19,7,Early Morning,Relationship Formed,0
Genderfluid,Bisexual,Urban,1,Low,1,No Formal Education,"Tech, K-pop, Anime",137,Addicted,0.45,Optimistic,90,13,1,156,18,0.2,3,Afternoon,One-sided Like,0
Male,Queer,Suburban,2,Low,1,PhD,"Memes, Tattoos, Fashion",122,Addicted,0.65,Optimistic,150,15,5,255,82,0.31,8,Evening,Instant Match,0
Transgender,Gay,Metro,0,Lower-Middle,2,Diploma,"Traveling, Reading, Parenting",199,Extreme User,0.56,Optimistic,6,3,2,306,15,0.35,18,Morning,No Action,0
Prefer Not to Say,Demisexual,Metro,0,Lower-Middle,2,No Formal Education,"Gaming, Reading, Spirituality",299,Extreme User,0.45,Optimistic,107,7,6,356,36,0.46,15,Late Night,Mutual Match,0
Non-binary,Straight,Metro,0,Very High,6,No Formal Education,"Gaming, Painting, Meditation",85,High,0.34,Balanced,122,12,1,3,82,0.42,3,Late Night,Blocked,0
Genderfluid,Asexual,Rural,4,Very High,6,Associate’s,"Stand-up Comedy, Startups, Fitness",223,Extreme User,0.45,Optimistic,185,10,6,25,97,0.13,18,Afternoon,No Action,0
Prefer Not to Say,Straight,Suburban,2,Lower-Middle,2,Associate’s,"Tattoos, Fitness, Coding",110,High,0.67,Optimistic,27,5,1,462,17,0.47,2,Evening,Date Happened,0
Female,Demisexual,Metro,0,Very Low,0,High School,"Languages, Board Games, K-pop",140,Addicted,0.41,Optimistic,95,7,5,250,44,0.26,3,Early Morning,Mutual Match,0
Male,Demisexual,Remote Area,5,High,5,No Formal Education,"DIY, MMA, Astrology",16,Low,0.43,Optimistic,38,6,0,329,53,0.42,17,Evening,Chat Ignored,1
Transgender,Demisexual,Suburban,2,Very Low,0,Associate’s,"History, Politics, Languages",46,Moderate,0.68,Optimistic,22,13,5,169,46,0.27,22,Evening,Date Happened,0
Male,Pansexual,Rural,4,Middle,3,Postdoc,"Fashion, Tattoos, Startups",62,High,0.41,Optimistic,86,26,0,193,47,0.43,10,After Midnight,Instant Match,0
Female,Bisexual,Remote Area,5,Very Low,0,MBA,"Traveling, K-pop, Reading",85,High,0.33,Balanced,183,21,2,52,47,0.26,8,Late Night,Date Happened,0
Transgender,Demisexual,Small Town,3,Middle,3,Associate’s,"MMA, Cooking, Crafting",100,High,0.5,Optimistic,142,0,3,186,63,0.19,7,After Midnight,Relationship Formed,0
Transgender,Gay,Small Town,3,Very Low,0,PhD,"Skating, Dancing, Podcasts",56,Moderate,0.44,Optimistic,181,2,4,185,74,0.5,4,Evening,Ghosted,2
Male,Asexual,Remote Area,5,Low,1,High School,"MMA, Politics, Gaming",99,High,0.53,Optimistic,170,25,6,211,17,0.24,11,Early Morning,No Action,0
Male,Pansexual,Remote Area,5,Very High,6,Bachelor’s,"Skating, Coding, Politics",215,Extreme User,0.71,Swipe Maniac,148,0,6,266,21,0.18,20,Afternoon,Ghosted,2
Genderfluid,Lesbian,Metro,0,Very Low,0,PhD,"Languages, Tech, Fitness",228,Extreme User,0.6,Optimistic,16,0,1,255,20,0.12,23,Early Morning,Catfished,0
Non-binary,Bisexual,Urban,1,Upper-Middle,4,PhD,"Dancing, Spirituality, Board Games",290,Extreme User,0.45,Optimistic,122,7,1,145,9,0.39,2,Morning,No Action,0
Non-binary,Asexual,Remote Area,5,Upper-Middle,4,Associate’s,"Sneaker Culture, Gaming, Movies",186,Extreme User,0.68,Optimistic,44,15,4,303,11,0.53,5,Morning,Blocked,0
Genderfluid,Asexual,Rural,4,High,5,No Formal Education,"Fashion, Painting, MMA",171,Addicted,0.12,Choosy,46,27,5,179,38,0.65,14,Early Morning,Relationship Formed,0
Male,Bisexual,Suburban,2,Low,1,Postdoc,"Hiking, Poetry, Tech",133,Addicted,0.85,Swipe Maniac,1,0,4,171,55,0.39,2,Late Night,One-sided Like,0
Male,Straight,Remote Area,5,High,5,Postdoc,"Fitness, Poetry, Podcasts",12,Very Low,0.15,Choosy,63,25,2,284,90,0.15,18,Early Morning,Mutual Match,0
Prefer Not to Say,Bisexual,Rural,4,Lower-Middle,2,PhD,"Tech, Dancing, DIY",24,Low,0.47,Optimistic,123,12,1,299,1,0.29,10,Morning,Catfished,0
Female,Gay,Remote Area,5,Middle,3,Master’s,"Coding, Stand-up Comedy, Social Activism",243,Extreme User,0.59,Optimistic,145,19,2,489,82,0.31,21,Morning,No Action,0
Female,Asexual,Small Town,3,High,5,High School,"Spirituality, Poetry, Traveling",54,Moderate,0.43,Optimistic,39,16,5,78,11,0.28,9,Evening,Mutual Match,0
Transgender,Gay,Remote Area,5,Middle,3,PhD,"Tech, Memes, Traveling",124,Addicted,0.06,Choosy,97,27,5,471,65,0.24,2,Afternoon,Catfished,0
Prefer Not to Say,Lesbian,Remote Area,5,Middle,3,PhD,"Investing, Hiking, Painting",90,High,0.65,Optimistic,171,18,0,50,16,0.26,14,After Midnight,Ghosted,2
Non-binary,Gay,Urban,1,Lower-Middle,2,No Formal Education,"Art, Skating, K-pop",44,Moderate,0.55,Optimistic,27,21,1,466,70,0.56,9,Afternoon,Chat Ignored,1
Transgender,Straight,Suburban,2,High,5,MBA,"Languages, Cooking, Traveling",21,Low,0.74,Swipe Maniac,164,2,2,199,11,0.23,15,Late Night,Instant Match,0
Male,Straight,Suburban,2,Middle,3,Postdoc,"Stand-up Comedy, Dancing, Politics",242,Extreme User,0.4,Optimistic,65,0,4,130,66,0.11,22,Early Morning,Date Happened,0
Genderfluid,Demisexual,Suburban,2,High,5,Associate’s,"Art, Tattoos, Dancing",251,Extreme User,0.42,Optimistic,82,29,2,18,21,0.45,4,Morning,Catfished,0
Non-binary,Lesbian,Urban,1,Low,1,PhD,"Gaming, Sneaker Culture, Writing",18,Low,0.37,Balanced,166,24,4,390,4,0.31,17,After Midnight,Date Happened,0
Transgender,Gay,Small Town,3,High,5,Postdoc,"Tattoos, Fitness, Spirituality",10,Very Low,0.65,Optimistic,17,1,0,241,29,0.22,4,Late Night,Chat Ignored,1
Non-binary,Bisexual,Urban,1,Middle,3,Associate’s,"Motorcycling, Art, Social Activism",197,Extreme User,0.72,Swipe Maniac,162,22,5,453,25,0.28,16,After Midnight,Relationship Formed,0
Transgender,Queer,Remote Area,5,Upper-Middle,4,High School,"History, Fashion, Cooking",51,Moderate,0.56,Optimistic,163,27,2,72,8,0.07,6,Evening,Blocked,0
Genderfluid,Gay,Rural,4,Middle,3,High School,"K-pop, MMA, History",184,Extreme User,0.63,Optimistic,129,20,4,270,37,0.29,6,Early Morning,Date Happened,0
Prefer Not to Say,Pansexual,Urban,1,Very High,6,Master’s,"Startups, Painting, Makeup",16,Low,0.41,Optimistic,185,2,0,67,89,0.04,14,Late Night,Chat Ignored,1
Genderfluid,Asexual,Metro,0,Low,1,Associate’s,"Gardening, DIY, Gaming",49,Moderate,0.54,Optimistic,43,20,1,448,96,0.12,10,Early Morning,Blocked,0
Male,Bisexual,Remote Area,5,Lower-Middle,2,High School,"Fashion, Reading, Tattoos",79,High,0.78,Swipe Maniac,10,4,2,389,24,0.23,15,Evening,Mutual Match,0
Female,Demisexual,Metro,0,Very High,6,PhD,"Parenting, Skating, Movies",106,High,0.29,Balanced,41,7,2,158,53,0.13,16,After Midnight,Ghosted,2
Female,Demisexual,Suburban,2,Very High,6,Associate’s,"Board Games, History, Running",130,Addicted,0.94,Swipe Maniac,139,7,4,152,59,0.26,22,Afternoon,Mutual Match,0
Transgender,Straight,Small Town,3,Upper-Middle,4,Bachelor’s,"Clubbing, Fashion, Painting",148,Addicted,0.4,Optimistic,134,23,0,465,15,0.22,0,Late Night,Catfished,0
Prefer Not to Say,Pansexual,Remote Area,5,High,5,Bachelor’s,"Running, Cooking, Yoga",23,Low,0.45,Optimistic,133,11,6,140,41,0.44,1,Afternoon,Catfished,0
Male,Asexual,Suburban,2,Very High,6,High School,"Fitness, Binge-Watching, Makeup",267,Extreme User,0.24,Balanced,43,26,0,370,74,0.14,0,Early Morning,One-sided Like,0
Transgender,Asexual,Rural,4,Very High,6,Postdoc,"Art, Binge-Watching, Foodie",199,Extreme User,0.79,Swipe Maniac,35,7,0,235,65,0.3,23,Evening,Instant Match,0
Genderfluid,Lesbian,Metro,0,High,5,Diploma,"Yoga, MMA, Cooking",0,Barely,0.58,Optimistic,147,25,2,55,29,0.15,21,Morning,One-sided Like,0
Transgender,Asexual,Urban,1,Middle,3,Bachelor’s,"Anime, Investing, Skating",0,Barely,0.12,Choosy,21,14,3,348,18,0.29,11,After Midnight,Instant Match,0
Female,Queer,Metro,0,Lower-Middle,2,MBA,"Writing, Tech, Anime",274,Extreme User,0.51,Optimistic,136,23,6,357,15,0.33,11,Morning,Chat Ignored,1
Transgender,Pansexual,Metro,0,Middle,3,Associate’s,"Photography, Pets, Running",270,Extreme User,0.36,Balanced,35,12,0,204,67,0.13,12,Late Night,Date Happened,0
Non-binary,Asexual,Suburban,2,Low,1,No Formal Education,"Tech, Memes, Languages",70,High,0.66,Optimistic,86,5,6,427,78,0.29,1,Late Night,Date Happened,0
Transgender,Pansexual,Rural,4,Very Low,0,Diploma,"Politics, Fitness, Art",214,Extreme User,0.4,Optimistic,4,3,2,140,94,0.48,2,Evening,Relationship Formed,0
Female,Queer,Suburban,2,Upper-Middle,4,No Formal Education,"Movies, Hiking, Binge-Watching",106,High,0.35,Balanced,168,29,4,55,6,0.12,6,Early Morning,Date Happened,0
Genderfluid,Queer,Small Town,3,Upper-Middle,4,High School,"Startups, Anime, Cooking",35,Moderate,0.19,Choosy,198,26,1,278,31,0.01,10,Late Night,Date Happened,0
Non-binary,Gay,Remote Area,5,Very High,6,Master’s,"K-pop, Gardening, Painting",160,Addicted,0.4,Optimistic,9,4,2,295,68,0.02,7,After Midnight,Blocked,0
Male,Gay,Remote Area,5,Low,1,High School,"Anime, Motorcycling, Painting",224,Extreme User,0.27,Balanced,117,27,0,229,39,0.15,20,Afternoon,Mutual Match,0
Female,Bisexual,Urban,1,High,5,High School,"Parenting, Crafting, Cooking",114,High,0.59,Optimistic,113,8,3,458,6,0.25,2,Early Morning,Relationship Formed,0
Male,Pansexual,Small Town,3,Low,1,Associate’s,"Makeup, Clubbing, Fitness",147,Addicted,0.47,Optimistic,34,18,2,401,28,0.21,12,After Midnight,Chat Ignored,1
Female,Bisexual,Suburban,2,Lower-Middle,2,Associate’s,"History, Gaming, Investing",294,Extreme User,0.51,Optimistic,6,5,5,246,62,0.34,14,Afternoon,Ghosted,2
Male,Lesbian,Small Town,3,High,5,PhD,"Yoga, Poetry, Gaming",200,Extreme User,0.79,Swipe Maniac,117,6,4,233,43,0.39,23,Afternoon,Relationship Formed,0
Prefer Not to Say,Asexual,Metro,0,Low,1,Associate’s,"Crafting, Coding, Podcasts",72,High,0.7,Swipe Maniac,177,16,6,299,29,0.34,7,After Midnight,No Action,0
Male,Pansexual,Urban,1,High,5,PhD,"Investing, Hiking, Anime",16,Low,0.52,Optimistic,150,25,5,254,7,0.08,16,After Midnight,Relationship Formed,0
Prefer Not to Say,Gay,Metro,0,Lower-Middle,2,MBA,"Foodie, Dancing, Memes",234,Extreme User,0.69,Optimistic,34,19,2,272,31,0.54,13,Late Night,Instant Match,0
Female,Queer,Suburban,2,Upper-Middle,4,No Formal Education,"Writing, Spirituality, Poetry",9,Very Low,0.34,Balanced,126,25,6,9,75,0.54,6,After Midnight,Catfished,0
Non-binary,Straight,Rural,4,Middle,3,Postdoc,"Hiking, Spirituality, Parenting",181,Extreme User,0.72,Swipe Maniac,12,7,4,228,99,0.36,5,After Midnight,Mutual Match,0
Male,Gay,Suburban,2,Very High,6,Associate’s,"Skating, Memes, Reading",298,Extreme User,0.77,Swipe Maniac,24,23,0,237,24,0.15,8,After Midnight,No Action,0
Transgender,Bisexual,Suburban,2,Upper-Middle,4,Associate’s,"Hiking, Writing, Investing",130,Addicted,0.31,Balanced,103,6,3,105,46,0.04,0,After Midnight,Mutual Match,0
Male,Asexual,Rural,4,Upper-Middle,4,Bachelor’s,"Social Activism, Painting, Clubbing",227,Extreme User,0.45,Optimistic,146,1,0,155,75,0.4,11,Afternoon,Date Happened,0
Non-binary,Gay,Rural,4,High,5,Master’s,"Coding, Movies, Board Games",77,High,0.59,Optimistic,101,2,3,22,94,0.36,15,Early Morning,One-sided Like,0
Female,Lesbian,Metro,0,Very Low,0,Diploma,"Skating, Music, Parenting",222,Extreme User,0.35,Balanced,57,21,4,74,15,0.33,23,Early Morning,Chat Ignored,1
Female,Bisexual,Metro,0,Upper-Middle,4,Associate’s,"Fashion, Gaming, Parenting",86,High,0.54,Optimistic,138,13,4,110,10,0.66,17,After Midnight,Chat Ignored,1
Non-binary,Lesbian,Rural,4,Very Low,0,Master’s,"Binge-Watching, Cars, History",169,Addicted,0.59,Optimistic,49,13,4,470,93,0.22,14,After Midnight,One-sided Like,0
Prefer Not to Say,Queer,Suburban,2,High,5,Bachelor’s,"Board Games, Skating, Movies",145,Addicted,0.71,Swipe Maniac,139,12,3,459,5,0.51,6,Early Morning,Instant Match,0
Non-binary,Pansexual,Urban,1,Low,1,Master’s,"Traveling, Clubbing, Fitness",158,Addicted,0.2,Balanced,152,5,3,352,78,0.45,22,After Midnight,No Action,0
Non-binary,Straight,Small Town,3,Middle,3,Associate’s,"History, Cooking, Board Games",271,Extreme User,0.56,Optimistic,144,9,5,208,100,0.37,14,After Midnight,Date Happened,0
Genderfluid,Gay,Small Town,3,Upper-Middle,4,MBA,"Traveling, Memes, DIY",36,Moderate,0.29,Balanced,73,19,0,133,1,0.05,3,Morning,One-sided Like,0
Male,Lesbian,Rural,4,Lower-Middle,2,Diploma,"Hiking, Pets, Yoga",230,Extreme User,0.49,Optimistic,48,2,5,187,53,0.28,22,Morning,Mutual Match,0
Male,Lesbian,Suburban,2,Very High,6,Diploma,"Tech, Motorcycling, Startups",96,High,0.42,Optimistic,91,13,4,469,4,0.35,19,Afternoon,One-sided Like,0
Transgender,Queer,Metro,0,Very High,6,PhD,"Traveling, Makeup, Cars",44,Moderate,0.24,Balanced,134,13,6,454,56,0.26,13,Evening,Catfished,0
Female,Bisexual,Suburban,2,Very Low,0,PhD,"Anime, Hiking, Motorcycling",257,Extreme User,0.51,Optimistic,21,6,1,188,86,0.04,7,Late Night,Instant Match,0
Male,Queer,Suburban,2,Low,1,PhD,"Fashion, Podcasts, Languages",274,Extreme User,0.9,Swipe Maniac,157,27,5,228,7,0.19,9,Evening,Catfished,0
Male,Pansexual,Suburban,2,Middle,3,Associate’s,"Fitness, Skating, Astrology",52,Moderate,0.79,Swipe Maniac,159,24,5,486,17,0.29,20,Evening,One-sided Like,0
Male,Lesbian,Remote Area,5,Upper-Middle,4,Postdoc,"Makeup, Parenting, Movies",58,Moderate,0.36,Balanced,125,6,3,236,23,0.26,23,Afternoon,Instant Match,0
Prefer Not to Say,Gay,Small Town,3,Middle,3,MBA,"Cooking, Sneaker Culture, Motorcycling",199,Extreme User,0.5,Optimistic,13,13,4,337,93,0.05,19,Morning,Date Happened,0
Genderfluid,Pansexual,Remote Area,5,Very Low,0,MBA,"Coding, Sneaker Culture, Parenting",34,Moderate,0.37,Balanced,0,0,2,174,42,0.58,19,Late Night,Date Happened,0
Female,Lesbian,Small Town,3,Very Low,0,MBA,"Tech, Gaming, Board Games",238,Extreme User,0.28,Balanced,191,25,0,60,59,0.43,12,Late Night,No Action,0
Non-binary,Bisexual,Urban,1,Low,1,MBA,"Tattoos, Astrology, Fashion",155,Addicted,0.42,Optimistic,97,28,2,48,44,0.6,9,Early Morning,Catfished,0
Genderfluid,Lesbian,Suburban,2,Middle,3,Postdoc,"MMA, Startups, Painting",134,Addicted,0.55,Optimistic,78,26,4,425,79,0.73,7,Early Morning,Relationship Formed,0
